Nume Disciplina,Cod Disciplina,Nr Credite,Forma Evaluare,Nr Ore Curs,Nr Ore Seminar,Nr Ore Laborator
Optional 4.-6. Sisteme incorporate,L001.23.06.S3-06,3,E,28,0,28
Optional 8.-11. Programare concurentă și bazată pe evenimente,L001.23.07.S2-06,5,E,28,0,28
Optional 12.-15. Structuri tolerante la defecte,L001.23.08.S2-06,5,E,28,0,14
Optional 4.- 6. Servicii complexe in retelele de calculatoare,L001.23.06.S3-07,3,E,28,0,28
Optional 8.-11. Agenti inteligenti si aplicatii WEB,L001.23.07.S2-07,5,E,28,0,28
Optional 12.-15. Proiectarea driverelor,L001.23.08.S2-07,5,E,28,0,14
Optional 7. Etica si integritate academica,L001.23.06.C6-08,3,D,14,14,0
Optional 8.-11. Proiectarea bazelor de date,L001.23.07.S2-08,5,E,28,0,28
Optional 7. Cultura si civilizatie,L001.23.06.C6-09,3,D,14,14,0
Optional 8.-11. Proiectarea si analiza aplicatiilor mobile,L001.23.07.S2-09,5,E,28,0,28
Psihologia educației,L001.23.01.f11-01,5,E,28,28,0
Pedagogie I: -Teoria și metodologia curriculumului ,L001.23.02.f11-01,5,E,28,28,0
Pedagogie II: Teoria si metodologia instruirii, Teoria și metodologia evaluării,L001.23.03.f11-01,5,E,28,28,0
Didactica specialității,L001.23.04.f11-01,5,E,28,28,0
Voluntariat,L001.23.02.f11-02,2,C,0,0,28
Limbi straine,L001.23.03.f11-02,2,D,0,28,0
Voluntariat,L001.23.04.f11-02,2,C,0,0,28
Limbi straine,L001.23.04.f11-03,2,D,0,28,0
Practica pedagogica in invatamantul preuniversitar obligatoriu (1),L001.23.05.f11-01,3,C,0,0,0
Managementul clasei de elevi,L001.23.06.f11-01,3,E,14,14,0
Voluntariat,L001.23.08.f11-01,2,C,0,0,28
Practica pedagogica in invatamantul preuniversitar obligatoriu (2),L001.23.06.f11-02,2,C,0,0,0
Voluntariat,L001.23.06.f11-03,2,C,0,0,28
